Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,51900.00,7.30,7.30,3.75,4.25,4.25,4.25,40888.00,636684.49,58.33,211110.00,-43380.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,55100.00,1.85,2.95,1.55,2.35,2.05,2.35,585.00,9670.47,0.42,21630.00,-630.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,52200.00,5.00,5.40,3.00,3.75,3.50,3.75,30932.00,484430.10,34.98,206640.00,-56430.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,53500.00,2.05,3.15,2.05,2.70,2.75,2.70,35339.00,567218.80,27.85,414090.00,-111180.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,52300.00,5.45,5.50,2.75,3.60,3.70,3.60,22024.00,345580.44,23.88,171930.00,330.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,52400.00,4.00,4.00,2.75,3.50,3.20,3.50,18761.00,294942.35,19.43,117930.00,-28500.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,52600.00,3.85,5.00,2.55,3.35,3.50,3.35,15926.00,251327.67,15.39,124020.00,-26310.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,51300.00,21.65,21.65,6.95,7.85,7.00,7.85,109075.00,1678979.55,315.30,388140.00,122550.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,43200.00,-,-,-,9521.75,-,5827.35,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,43300.00,-,-,-,9823.65,-,5727.45,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,45000.00,4288.35,4366.55,3931.55,4015.95,4020.00,4015.95,128.00,1882.67,154.67,62160.00,-3060.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,44400.00,-,-,-,8780.20,-,4628.60,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,61000.00,1.20,1.80,1.10,1.45,1.45,1.45,103926.00,1901893.86,48.06,3140850.00,590970.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,58500.00,1.55,2.70,1.25,1.65,2.30,1.65,3573.00,62707.97,1.82,67860.00,1320.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,55800.00,2.25,2.95,1.25,2.30,1.25,2.30,3338.00,55880.40,2.28,25650.00,-8490.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,53100.00,3.90,3.95,2.00,3.05,3.95,3.05,5379.00,85692.13,4.66,101070.00,-19860.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,48600.00,920.95,938.40,557.00,641.25,593.00,641.25,31363.00,463398.98,6126.44,66720.00,-33930.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,48700.00,830.95,864.00,493.35,579.35,527.60,579.35,59432.00,878646.54,10345.02,112890.00,37650.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,46900.00,2432.85,2432.85,2010.00,2108.45,2095.50,2108.45,100.00,1474.39,67.39,8100.00,-2280.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,48400.00,1012.75,1104.55,689.00,790.05,740.00,790.05,7820.00,115410.17,1863.77,36210.00,9960.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,45500.00,3490.00,3596.10,3490.00,3594.10,3592.60,3594.10,9.00,132.37,9.52,1200.00,-180.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,47300.00,2043.10,2043.10,1666.40,1764.60,1709.30,1764.60,69.00,1015.80,36.69,3990.00,-1590.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,45600.00,-,-,-,7669.75,-,3430.00,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,49400.00,400.45,418.85,190.05,222.10,198.40,222.10,204334.00,3044750.55,16520.67,479160.00,-50040.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,49500.00,350.00,370.00,161.50,190.90,170.80,190.90,445959.00,6652149.06,29657.91,1451970.00,143430.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,47700.00,1700.00,1700.00,1250.00,1386.05,1321.10,1386.05,330.00,4857.99,135.69,9660.00,60.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,46100.00,-,-,-,3848.00,3848.00,2930.95,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,59500.00,1.40,2.95,1.35,1.50,1.90,1.50,11938.00,213099.14,5.84,236310.00,163860.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,56400.00,3.70,3.70,1.50,2.15,2.00,2.15,2492.00,42166.31,1.67,48030.00,-90.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,60000.00,1.60,1.90,1.25,1.50,1.35,1.50,37532.00,675593.28,17.28,948540.00,1050.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,52000.00,5.85,6.00,3.60,4.20,3.70,4.20,243318.00,3796075.03,314.23,2026830.00,-4710.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,53300.00,2.75,3.70,2.00,3.10,3.15,3.10,6455.00,103221.01,5.56,70290.00,-25650.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,54000.00,2.75,3.30,2.05,2.60,2.65,2.60,74247.00,1202856.62,55.22,1540740.00,-148590.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,46200.00,-,-,-,3933.15,3933.15,2831.30,-,-,-,120.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,46500.00,2450.85,2497.30,2450.85,2497.30,2497.25,2497.30,4.00,58.78,2.98,10050.00,60.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,43400.00,-,-,-,9728.05,-,5627.55,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,43600.00,-,-,-,9537.20,-,5427.75,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,43700.00,-,-,-,9442.00,-,5327.85,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,45200.00,-,-,-,8035.95,-,3829.50,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,CE,44900.00,-,-,-,8313.35,-,4129.15,-,-,-,-,-,48981.20
