Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,59500.00,-,-,-,6465.85,6465.85,10455.25,-,-,-,300.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,53700.00,-,-,-,3850.00,3850.00,4661.45,-,-,-,780.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,53800.00,-,-,-,4235.10,4235.10,4761.35,-,-,-,10620.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,53500.00,4203.00,4628.30,4164.35,4479.25,4490.00,4479.25,456.00,7929.48,610.68,87300.00,-10320.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,52300.00,-,-,-,2789.45,2789.45,3263.30,-,-,-,9720.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54100.00,-,-,-,4606.55,4606.55,5061.05,-,-,-,150.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,51400.00,2052.05,2386.70,2034.55,2381.15,2384.50,2381.15,86.00,1381.52,55.40,35580.00,-630.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46300.00,7.50,14.80,4.60,5.50,4.80,5.50,64063.00,889979.78,144.71,173820.00,10110.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46800.00,14.90,28.10,9.55,10.45,11.70,10.45,65552.00,920636.03,285.95,208890.00,12150.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,48400.00,129.55,251.65,107.10,148.60,167.85,148.60,128827.00,1877198.84,6630.80,237000.00,49500.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,47300.00,33.00,56.00,20.00,23.05,27.80,23.05,109909.00,1560640.82,1032.11,303270.00,163470.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,43500.00,2.05,2.35,1.25,1.45,1.30,1.45,19484.00,254276.90,10.70,196410.00,110940.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,43800.00,2.00,2.80,1.10,1.25,1.55,1.25,307.00,4034.15,0.17,16230.00,120.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,60500.00,-,-,-,8169.00,8169.00,11454.20,-,-,-,720.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,61000.00,-,-,-,10308.20,10304.25,11953.65,-,-,-,570.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,56300.00,-,-,-,6523.10,6523.10,7258.70,-,-,-,90.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,56400.00,7379.45,7403.40,7379.45,7389.45,7389.45,7358.55,70.00,1339.64,155.24,420.00,-1290.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54900.00,-,-,-,5168.00,5168.00,5860.15,-,-,-,300.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,55600.00,-,-,-,3044.70,3044.70,6559.40,-,-,-,90.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54300.00,-,-,-,4693.40,4693.40,5260.80,-,-,-,120.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54600.00,-,-,-,5116.60,5116.60,5560.50,-,-,-,360.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46500.00,10.20,19.10,6.05,6.95,7.75,6.95,263576.00,3677681.12,795.92,761370.00,58080.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,49900.00,774.05,1138.00,716.00,944.80,1008.30,944.80,7427.00,113226.81,2044.62,87060.00,-23430.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46900.00,15.30,32.65,10.90,12.30,12.50,12.30,55580.00,782289.58,278.98,143010.00,43230.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,45400.00,3.70,5.75,2.30,2.70,3.10,2.70,8933.00,121676.99,9.53,72870.00,6660.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,50100.00,916.00,1301.70,857.70,1092.95,1180.00,1092.95,2695.00,41345.05,839.20,84210.00,-7770.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,45800.00,4.70,8.45,2.75,3.45,2.75,3.45,21168.00,290877.00,28.68,78240.00,-31320.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,47600.00,40.90,86.00,31.30,38.30,42.40,38.30,88705.00,1268073.46,1366.06,113220.00,-20490.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,43900.00,2.70,3.70,1.30,1.55,1.45,1.55,1570.00,20677.93,1.03,25470.00,4890.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,44300.00,2.40,3.10,1.40,1.80,1.40,1.80,2326.00,30914.14,1.60,17640.00,-360.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,44500.00,2.05,3.35,1.75,2.00,1.90,2.00,32962.00,440066.13,23.43,318210.00,13260.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,58500.00,-,-,-,9130.95,9130.95,9456.35,-,-,-,30.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,57000.00,7581.05,8160.00,7581.05,7944.30,7967.10,7944.30,92.00,1793.53,220.33,13920.00,-1530.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,53900.00,-,-,-,4212.95,4212.90,4861.25,-,-,-,360.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,53600.00,-,-,-,4219.75,4219.75,4561.55,-,-,-,19170.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,50900.00,1619.50,2029.90,1560.00,1896.60,1896.70,1896.60,97.00,1535.07,53.88,27780.00,-1050.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,55500.00,-,-,-,6004.75,6004.75,6459.55,-,-,-,2940.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46600.00,12.00,21.75,7.30,8.15,9.30,8.15,55657.00,778275.40,190.54,181230.00,94200.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46700.00,10.65,24.50,8.10,9.00,8.80,9.00,59445.00,833053.72,229.27,276600.00,89040.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,48700.00,200.00,363.85,167.85,235.45,258.15,235.45,209989.00,3084653.67,16714.38,282120.00,10290.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,50600.00,1299.25,1748.50,1289.00,1602.50,1607.45,1602.50,530.00,8295.42,250.02,102720.00,4260.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,49100.00,342.00,566.20,290.10,403.00,441.00,403.00,267457.00,3973165.89,33524.28,255210.00,-65730.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,50700.00,1371.65,1843.45,1371.65,1699.10,1710.75,1699.10,211.00,3315.39,106.08,111270.00,-690.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,49300.00,401.20,689.90,370.65,517.70,573.55,517.70,228981.00,3420485.34,33856.35,245550.00,-159570.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,47900.00,63.30,130.00,49.60,65.15,73.15,65.15,101492.00,1460875.13,2435.09,168600.00,3930.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,43400.00,2.15,3.40,0.65,1.45,0.65,1.45,1028.00,13385.16,0.60,16020.00,1440.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,44800.00,2.70,3.85,1.70,2.10,1.75,2.10,2598.00,34919.22,2.10,32280.00,150.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,42500.00,1.80,1.90,1.15,1.25,1.20,1.25,6173.00,78708.61,2.86,185160.00,-10740.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,56600.00,-,-,-,4233.15,-,7558.35,-,-,-,-,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,57500.00,-,-,-,7963.15,7963.15,8457.40,-,-,-,510.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,51600.00,-,-,-,2096.90,2096.90,2566.55,-,-,-,13080.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,52100.00,-,-,-,2590.65,2590.65,3063.80,-,-,-,8370.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,55300.00,-,-,-,5949.50,5949.50,6259.75,-,-,-,30.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54000.00,4713.25,5127.85,4615.80,4930.15,5015.00,4930.15,2257.00,39942.12,3378.72,367290.00,-42750.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,52700.00,-,-,-,3472.60,3472.60,3662.60,-,-,-,2670.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,54700.00,-,-,-,5284.55,5284.55,5660.40,-,-,-,330.00,-,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,51700.00,2537.75,2811.60,2537.75,2614.20,2614.20,2665.75,32.00,521.19,24.87,7170.00,60.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,50300.00,1006.60,1489.30,1006.60,1313.35,1367.45,1313.35,1236.00,19114.18,462.94,127290.00,-3150.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,45700.00,4.50,7.40,2.70,3.40,2.70,3.40,10479.00,143680.62,13.53,66600.00,13110.00,48981.20
BANKNIFTY,21-Feb-2025,27-Feb-2025,PE,46000.00,6.45,10.55,3.45,4.10,4.50,4.10,216537.00,2988571.33,360.73,1309650.00,-240510.00,48981.20
