Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1170.00,31.55,67.10,30.70,51.50,52.30,51.50,676.00,5183.64,240.39,756875.00,-130000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1230.00,5.40,18.35,3.75,8.50,8.00,8.50,22381.00,173859.07,1805.13,779375.00,351875.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1080.00,119.60,155.05,119.60,145.25,145.25,143.60,57.00,436.12,51.37,708750.00,-15000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1280.00,0.65,3.95,0.65,1.10,1.05,1.10,2976.00,23848.93,40.93,297500.00,230000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1100.00,107.90,135.00,93.10,119.85,118.50,119.85,224.00,1709.94,169.94,1818125.00,-59375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1010.00,-,-,-,68.45,68.45,213.55,-,-,-,40000.00,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1110.00,104.15,123.50,99.00,108.70,108.70,108.70,68.00,520.63,48.88,615625.00,-25000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,910.00,-,-,-,154.65,154.65,313.50,-,-,-,625.00,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1040.00,170.45,191.00,170.45,185.45,185.45,183.60,26.00,198.69,29.69,400000.00,-7500.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,980.00,-,-,-,95.00,95.00,243.55,-,-,-,30625.00,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1090.00,137.00,144.35,123.00,141.85,141.85,133.60,36.00,276.15,30.90,518750.00,-18750.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,990.00,-,-,-,84.95,84.95,233.55,-,-,-,55000.00,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1150.00,48.85,86.70,48.85,71.15,70.00,71.15,1419.00,10843.76,644.69,1525625.00,-168125.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,930.00,-,-,-,107.40,-,293.50,-,-,-,-,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1190.00,20.35,48.15,17.20,33.15,32.70,33.15,1771.00,13584.11,412.30,375000.00,-116250.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1050.00,156.75,184.20,147.00,180.35,180.35,173.60,42.00,320.08,44.45,386875.00,-15000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,960.00,-,-,-,125.00,125.00,263.55,-,-,-,21875.00,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,970.00,-,-,-,77.90,-,253.55,-,-,-,-,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1250.00,2.05,10.00,1.65,3.40,3.25,3.40,13023.00,102268.12,525.93,756250.00,504375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1270.00,3.95,5.30,1.25,1.50,1.50,1.50,3475.00,27649.29,66.48,401250.00,401250.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1320.00,1.40,1.40,0.35,0.40,0.40,0.40,163.00,1345.52,0.77,41875.00,41875.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1030.00,195.35,195.35,193.05,193.85,193.85,193.55,4.00,30.60,4.85,139375.00,-2500.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1130.00,90.10,102.55,84.05,90.75,90.15,90.75,175.00,1340.12,104.18,588125.00,-46250.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1160.00,44.80,76.25,40.35,62.00,60.35,62.00,661.00,5049.75,257.50,827500.00,-143125.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1200.00,11.25,39.30,9.00,24.90,23.75,24.90,9326.00,71591.70,1646.70,1545000.00,-522500.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,CE,1000.00,216.00,227.80,216.00,220.70,220.00,220.70,15.00,114.71,20.96,133125.00,-8125.00,1223.00
