Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
AXISBANK,21-Apr-2025,24-Apr-2025,PE,860.00,0.05,0.05,0.05,0.05,0.05,-,3.00,16.13,-,14375.00,-625.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,890.00,0.10,0.15,0.10,0.15,0.15,0.15,57.00,317.10,0.04,33125.00,-35000.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1030.00,0.15,0.25,0.10,0.25,0.25,0.25,116.00,746.88,0.13,267500.00,-33750.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1190.00,15.00,18.70,2.05,3.20,3.35,3.20,5925.00,44237.11,169.92,485625.00,89375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1060.00,0.15,0.20,0.05,0.15,0.15,0.15,432.00,2862.26,0.26,964375.00,-62500.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1210.00,19.00,19.00,4.55,7.35,7.75,7.35,6544.00,49845.35,356.35,645000.00,601875.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1260.00,39.75,52.00,30.35,40.75,42.30,40.75,158.00,1281.80,37.55,38750.00,38750.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1340.00,-,-,-,334.05,-,116.30,-,-,-,-,-,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1070.00,0.20,0.25,0.10,0.15,0.10,0.15,567.00,3792.43,0.62,642500.00,-181875.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1090.00,0.25,0.40,0.15,0.25,0.20,0.25,493.00,3359.32,0.75,720625.00,-144375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1130.00,1.60,1.60,0.50,0.60,0.60,0.60,1740.00,12295.48,6.73,1058125.00,-368125.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,920.00,0.10,0.10,0.05,0.10,0.10,0.10,8.00,46.00,-,55625.00,-3750.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1180.00,7.55,9.10,1.55,2.25,2.30,2.25,6790.00,50209.00,132.75,894375.00,189375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1200.00,19.15,19.15,2.90,4.55,4.75,4.55,13265.00,100014.11,526.61,1590625.00,846250.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1240.00,32.85,35.55,17.00,24.80,25.90,24.80,2291.00,18071.35,316.10,383750.00,359375.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,1300.00,73.55,90.40,65.45,78.60,78.60,78.60,110.00,946.87,53.12,43125.00,43125.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,990.00,0.15,0.20,0.15,0.20,0.20,-,41.00,253.73,0.04,103750.00,-8750.00,1223.00
AXISBANK,21-Apr-2025,24-Apr-2025,PE,840.00,0.05,0.05,0.05,0.05,0.05,-,2.00,10.50,-,5000.00,-,1223.00
