Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1860.00,58.95,85.65,53.95,63.50,64.00,63.50,2337.00,24786.40,878.89,5299250.00,-210100.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1680.00,245.00,246.00,244.50,244.50,244.50,248.00,3.00,31.77,4.05,67650.00,-550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2060.00,1.60,1.85,0.45,0.60,0.65,0.60,2384.00,27023.22,12.50,252450.00,85250.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1560.00,-,-,-,179.50,-,367.95,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2000.00,4.95,7.25,1.50,1.70,1.90,1.70,37898.00,417583.30,705.30,3005200.00,157850.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1980.00,7.90,11.45,2.80,3.20,3.45,3.20,30465.00,332594.68,830.83,2339700.00,1296350.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1960.00,9.90,16.55,4.80,5.45,5.70,5.45,44032.00,476779.87,2114.91,3672350.00,1780900.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2040.00,1.45,3.15,0.65,0.75,0.80,0.75,5618.00,63075.45,41.49,767800.00,194700.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1920.00,27.30,35.25,13.80,16.65,17.20,16.65,26695.00,284934.74,3035.54,1773200.00,-858000.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1400.00,-,-,-,364.00,364.00,527.85,-,-,-,3850.00,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2080.00,1.35,1.50,0.30,0.45,0.45,0.45,2680.00,30668.98,9.78,584100.00,44550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1760.00,180.00,181.00,153.75,162.95,164.40,162.95,355.00,3754.84,318.44,1310100.00,-86900.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1880.00,39.95,67.30,36.45,44.50,45.40,44.50,3545.00,37618.32,963.02,3892350.00,-250250.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1940.00,14.80,24.60,8.80,9.75,9.80,9.75,52451.00,563492.30,3840.13,5135900.00,1409650.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2120.00,1.50,1.50,0.25,0.35,0.35,0.35,1111.00,12957.73,3.47,271150.00,30800.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2160.00,0.95,0.95,0.20,0.25,0.20,0.25,121.00,1437.74,0.26,34650.00,34650.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1820.00,113.00,122.00,93.60,104.25,104.00,104.25,1013.00,10724.37,584.24,1557050.00,-380600.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1660.00,258.00,258.75,258.00,258.75,258.75,268.00,3.00,31.65,4.26,46200.00,-1650.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1700.00,241.00,241.00,213.20,220.40,220.40,220.40,120.00,1270.47,148.47,358050.00,-33550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1740.00,182.00,189.65,176.40,186.30,186.30,188.05,29.00,306.39,28.86,508750.00,-9900.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1800.00,122.15,145.65,113.25,122.55,123.45,122.55,842.00,8924.90,589.10,3574450.00,-72050.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1900.00,25.60,49.55,20.40,28.10,28.85,28.10,13467.00,143159.86,2429.71,3600300.00,-747450.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1500.00,436.25,436.25,423.75,427.25,427.25,427.90,6.00,63.65,14.15,25300.00,-550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1720.00,209.40,228.90,197.80,205.00,205.00,208.05,50.00,530.08,57.08,377300.00,-17050.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1520.00,-,-,-,211.30,-,407.95,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1580.00,-,-,-,153.90,-,347.95,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1600.00,320.00,327.00,319.00,323.00,323.00,328.00,31.00,327.76,54.96,54450.00,-12100.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1840.00,71.15,104.10,71.00,83.20,83.70,83.20,1032.00,10936.77,492.93,5859150.00,-121550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,2020.00,3.45,4.70,1.00,1.10,1.10,1.10,7420.00,82528.16,91.96,564850.00,339900.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1780.00,158.55,159.00,133.85,145.75,145.75,148.05,110.00,1165.58,88.68,1079100.00,-7700.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1640.00,285.00,285.00,285.00,285.00,285.00,288.00,1.00,10.59,1.57,7150.00,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,CE,1620.00,309.00,309.00,309.00,309.00,309.00,308.00,1.00,10.61,1.70,8250.00,-550.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1940.00,37.60,58.10,35.00,46.10,46.15,46.10,3450.00,37738.56,927.06,368500.00,259050.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1660.00,277.00,277.00,277.00,277.00,277.00,277.00,2.00,21.31,3.05,1100.00,1100.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1980.00,24.95,39.00,24.95,29.70,30.00,29.70,7557.00,83665.84,1370.11,939400.00,866250.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1760.00,195.00,195.00,171.80,183.75,183.75,183.75,44.00,469.66,43.74,35750.00,11000.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1960.00,30.00,48.00,30.00,37.50,37.60,37.50,2790.00,30682.07,605.87,446600.00,203500.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1720.00,215.40,230.20,208.30,218.50,218.50,223.40,112.00,1195.43,135.91,149050.00,44000.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2020.00,15.75,25.10,15.75,18.45,18.60,18.45,2128.00,23876.38,234.30,366300.00,301950.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2080.00,8.85,12.20,7.00,9.95,10.20,9.95,4949.00,56905.60,289.04,1327150.00,1117050.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1620.00,-,-,-,232.90,-,319.10,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1680.00,257.65,260.00,257.65,260.00,260.00,261.00,2.00,21.33,2.85,2750.00,550.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1520.00,-,-,-,385.00,385.00,417.85,-,-,-,1100.00,-,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1860.00,104.35,113.10,88.05,97.45,98.35,97.45,712.00,7668.14,384.38,266750.00,41800.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1880.00,80.00,97.20,73.75,82.75,83.30,82.75,668.00,7219.59,312.47,145200.00,-50600.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1920.00,49.50,69.85,42.30,56.95,57.55,56.95,2033.00,22125.56,657.08,301950.00,103950.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1700.00,243.95,252.45,228.10,239.85,240.00,239.85,97.00,1036.27,129.32,96250.00,21450.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1740.00,206.90,210.50,190.00,202.50,202.50,205.20,28.00,298.86,30.90,18150.00,4950.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1580.00,-,-,-,269.20,-,358.45,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2000.00,21.05,31.40,18.00,23.50,23.50,23.50,8505.00,94740.95,1185.95,1232550.00,453200.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1640.00,-,-,-,132.75,-,299.55,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2120.00,7.00,7.90,5.00,6.50,6.40,6.50,3503.00,40974.62,129.64,730400.00,493900.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2160.00,7.00,7.00,3.80,4.20,4.15,4.20,1632.00,19427.78,39.62,328900.00,328900.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1560.00,-,-,-,189.50,-,378.20,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1600.00,321.30,333.40,321.30,333.40,333.40,338.75,3.00,31.82,5.42,1650.00,1650.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1900.00,58.45,82.90,50.00,68.60,69.15,68.60,3495.00,37885.56,1362.81,901450.00,-63800.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1780.00,158.40,161.25,158.40,161.25,161.25,170.25,10.00,106.73,8.83,37400.00,4950.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1800.00,142.80,160.00,133.90,147.35,148.00,147.35,192.00,2056.19,155.39,369600.00,-1650.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1840.00,124.75,125.50,103.05,114.15,113.75,114.15,322.00,3457.70,199.06,80850.00,-55000.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2040.00,14.90,19.70,13.50,14.60,15.05,14.60,1763.00,19935.12,154.26,411400.00,245300.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,2060.00,9.90,15.70,8.75,11.75,12.05,11.75,1268.00,14455.02,88.58,332750.00,259050.00,1927.10
HDFCBANK,21-Apr-2025,29-May-2025,CE,1820.00,137.00,140.90,118.80,131.35,131.35,137.90,24.00,257.06,16.82,43450.00,3300.00,1927.10
HDFCBANK,21-Apr-2025,26-Jun-2025,CE,1880.00,-,-,-,77.35,-,119.55,-,-,-,-,-,1927.10
