Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1440.00,0.20,0.20,0.20,0.20,0.20,-,1.00,7.92,-,34650.00,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1940.00,30.50,40.25,18.95,26.80,26.20,26.80,10909.00,117941.45,1542.42,1020250.00,570900.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1760.00,1.00,1.00,0.35,0.45,0.50,0.45,1552.00,15027.30,3.94,1966800.00,-94600.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,2060.00,-,-,-,338.75,-,131.85,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1660.00,0.45,0.45,0.05,0.05,0.05,0.05,620.00,5660.88,0.28,469700.00,-51700.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1860.00,3.50,4.65,0.70,0.95,1.00,0.95,13423.00,137407.18,89.89,3908850.00,226600.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1400.00,0.25,0.25,0.10,0.15,0.15,-,93.00,716.17,0.07,157850.00,-22000.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1520.00,0.10,0.15,0.10,0.15,0.15,0.15,36.00,300.98,0.02,63250.00,-4950.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,2120.00,-,-,-,396.75,-,191.80,-,-,-,-,-,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1800.00,1.50,1.90,0.35,0.45,0.45,0.45,5628.00,55732.64,15.44,4302650.00,-319550.00,1927.10
HDFCBANK,21-Apr-2025,24-Apr-2025,PE,1500.00,0.20,0.30,0.10,0.15,0.15,0.15,133.00,1097.35,0.10,159500.00,-14300.00,1927.10
