Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1270.00,140.30,140.30,138.30,139.00,139.00,139.00,11.00,108.52,10.73,406000.00,-7000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1430.00,15.95,19.50,4.90,6.00,6.00,6.00,26837.00,270502.49,1864.12,2618700.00,2048900.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1070.00,-,-,-,166.65,-,340.40,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1280.00,134.10,134.10,129.00,129.00,129.00,130.50,19.00,187.80,17.56,417900.00,-10500.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1350.00,74.90,79.75,54.35,59.85,59.95,59.85,1373.00,13581.08,606.23,1516900.00,-280000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1230.00,180.00,180.00,180.00,180.00,180.00,180.50,3.00,29.61,3.78,17500.00,-2100.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1250.00,167.00,172.45,154.65,159.70,159.70,159.70,21.00,207.59,23.84,335300.00,-8400.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1420.00,26.00,26.00,7.55,9.20,9.20,9.20,36509.00,366134.98,3235.52,4204200.00,2560600.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1440.00,13.05,15.40,3.35,4.15,4.10,4.15,21318.00,216010.82,1125.38,2089500.00,1367100.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1190.00,-,-,-,70.00,-,220.45,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1330.00,83.00,97.85,73.70,79.50,79.50,79.50,276.00,2732.57,163.01,1724100.00,-23800.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1240.00,170.00,170.00,170.00,170.00,170.00,170.50,1.00,9.87,1.19,141400.00,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1380.00,47.55,54.10,28.65,32.90,33.50,32.90,1414.00,14044.92,385.68,669900.00,-290500.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1110.00,-,-,-,294.65,294.65,300.40,-,-,-,700.00,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1410.00,27.15,30.75,11.30,13.30,13.50,13.30,10124.00,101075.48,1151.60,1185100.00,348600.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1150.00,-,-,-,98.15,-,260.45,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1470.00,7.10,7.10,1.10,1.40,1.40,1.40,5811.00,59899.16,103.97,755300.00,243600.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1490.00,1.30,1.85,0.70,0.85,0.85,0.85,681.00,7107.96,5.13,140000.00,140000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1320.00,102.70,104.60,83.60,90.00,90.00,90.00,150.00,1484.20,98.20,1006600.00,-46900.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,CE,1520.00,1.40,1.95,0.35,0.40,0.40,0.40,1098.00,11688.46,5.74,219800.00,50400.00,1409.80
