Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1500.00,77.90,91.80,76.65,90.95,90.95,90.95,101.00,1119.55,59.05,22400.00,1400.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1120.00,0.05,0.05,0.05,0.05,0.05,-,10.00,78.40,-,27300.00,-7000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1070.00,-,-,-,2.50,-,-,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1220.00,0.30,0.30,0.15,0.25,0.25,0.25,66.00,563.73,0.09,173600.00,-27300.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1080.00,0.05,0.05,0.05,0.05,0.05,-,3.00,22.68,-,19600.00,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1380.00,5.10,6.65,2.65,4.35,4.40,4.35,7483.00,72501.95,216.17,858900.00,119000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1260.00,0.20,0.25,0.05,0.20,0.20,0.20,620.00,5469.10,0.70,459900.00,-221900.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1430.00,17.35,33.00,17.00,27.35,27.15,27.35,2715.00,27640.13,462.98,358400.00,252700.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1230.00,0.20,0.25,0.05,0.10,0.10,0.10,127.00,1093.57,0.10,224000.00,-42700.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1420.00,15.05,25.55,13.20,20.40,20.40,20.40,9347.00,94154.65,1245.47,1304100.00,1190700.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1190.00,0.15,0.15,0.10,0.10,0.10,-,25.00,208.27,0.02,98700.00,-14000.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1510.00,-,-,-,271.65,-,99.40,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1020.00,-,-,-,0.20,0.20,-,-,-,-,4200.00,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1200.00,0.30,0.30,0.10,0.15,0.10,0.15,705.00,5922.73,0.73,1142400.00,-183400.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1060.00,0.15,0.15,0.05,0.05,0.05,-,5.00,37.10,-,25200.00,-2100.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1250.00,0.40,0.40,0.05,0.10,0.10,0.10,791.00,6921.92,0.67,521500.00,-128800.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1390.00,11.45,11.50,4.20,6.80,6.85,6.80,5805.00,56739.03,256.38,686700.00,95200.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1110.00,0.05,0.10,0.05,0.05,0.05,-,3.00,23.31,-,14000.00,-2100.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1150.00,0.05,0.05,0.05,0.05,0.05,0.05,104.00,837.24,0.04,343700.00,-3500.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1160.00,0.10,0.10,0.05,0.05,0.05,0.05,26.00,211.13,0.01,327600.00,-7700.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1000.00,0.15,0.15,0.05,0.10,0.15,0.10,32.00,224.03,0.03,95200.00,-2800.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1330.00,1.25,1.25,0.40,0.70,0.80,0.70,1385.00,12900.14,5.79,1462300.00,-114800.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1540.00,-,-,-,262.20,-,129.40,-,-,-,-,-,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1210.00,0.35,0.45,0.10,0.10,0.10,-,60.00,508.26,0.06,156800.00,6300.00,1409.80
ICICIBANK,21-Apr-2025,24-Apr-2025,PE,1400.00,8.05,14.00,6.30,10.35,10.35,10.35,20295.00,200281.96,1390.96,1958600.00,159600.00,1409.80
