Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,21-Apr-2025,24-Apr-2025,CE,1140.00,-,-,-,559.55,-,311.65,-,-,-,-,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1280.00,168.00,192.00,168.00,180.60,180.60,171.70,7.00,40.87,5.03,55200.00,-2400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1360.00,100.25,110.00,74.65,91.60,91.85,91.60,287.00,1667.89,106.61,183600.00,-47600.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1540.00,1.15,4.00,0.80,1.05,0.95,1.05,7798.00,48080.73,45.05,906400.00,-68800.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,2000.00,0.50,0.50,0.10,0.20,0.15,0.20,113.00,904.07,0.07,160800.00,-21200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1380.00,63.35,92.50,55.20,73.35,71.00,73.35,1087.00,6314.88,314.64,255600.00,-66800.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1520.00,4.95,4.95,0.70,1.55,1.40,1.55,13544.00,82470.30,122.78,1988400.00,84000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1840.00,0.20,0.20,0.05,0.10,0.10,0.10,34.00,250.26,0.02,114400.00,-10400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1560.00,1.25,2.00,0.55,0.70,0.60,0.70,5386.00,33628.04,19.40,1161200.00,-2800.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1880.00,0.10,0.25,0.10,0.20,0.15,0.20,16.00,120.33,0.01,69200.00,-1200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1160.00,-,-,-,617.50,-,291.65,-,-,-,-,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1320.00,118.20,137.65,118.20,137.65,137.65,131.75,6.00,34.67,2.99,66800.00,-400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1700.00,0.50,0.50,0.15,0.20,0.20,0.20,1707.00,11609.14,1.54,1164000.00,-352400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1740.00,0.35,0.40,0.05,0.15,0.15,0.15,183.00,1273.80,0.12,170800.00,-38000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1760.00,0.30,0.30,0.05,0.10,0.10,0.10,154.00,1084.22,0.06,166800.00,-10400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,CE,1800.00,0.30,0.30,0.10,0.20,0.15,0.20,599.00,4313.24,0.44,1009600.00,-115600.00,1451.00
