Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
INFY,21-Apr-2025,24-Apr-2025,PE,1500.00,76.00,76.25,35.60,51.50,53.95,51.50,2597.00,16098.53,516.53,594000.00,-204400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1600.00,154.65,164.55,128.50,149.70,151.80,149.70,408.00,2851.45,240.25,396400.00,-79200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1260.00,1.95,2.90,0.10,0.25,0.30,0.25,1555.00,7838.95,1.75,284400.00,-173200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1560.00,100.00,123.25,89.95,111.40,111.20,111.40,205.00,1363.92,84.72,334000.00,-58000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1460.00,38.05,38.05,11.90,20.10,20.85,20.10,16409.00,97089.43,1260.87,715600.00,196400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1880.00,429.00,429.00,420.00,423.00,423.00,428.00,5.00,46.07,8.47,9200.00,-2000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1860.00,413.80,420.15,394.95,394.95,394.95,408.05,9.00,81.69,14.73,13200.00,-2400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1760.00,315.50,316.40,303.00,305.00,305.00,308.10,6.00,49.68,7.44,46800.00,-1200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,2040.00,-,-,-,625.00,625.00,587.95,-,-,-,11200.00,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1300.00,3.00,3.00,0.25,0.50,0.50,0.50,7732.00,40223.02,16.62,1222000.00,-908000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1240.00,1.00,1.45,0.10,0.25,0.25,0.25,1451.00,7198.21,1.25,391600.00,-151200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1220.00,1.00,1.00,0.05,0.15,0.20,0.15,1501.00,7325.97,1.09,131600.00,-158400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1180.00,0.40,1.25,0.10,0.25,0.25,0.25,639.00,3016.63,0.55,129200.00,-24400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1800.00,360.00,360.00,331.25,344.00,344.00,348.05,44.00,376.96,60.16,106400.00,-14400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1380.00,13.05,13.05,1.50,2.50,2.50,2.50,13111.00,72511.48,138.76,1088000.00,-273200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1680.00,240.00,240.00,224.50,224.80,224.80,228.10,9.00,68.67,8.19,71600.00,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1640.00,180.00,202.00,170.60,192.45,190.35,192.45,78.00,568.58,56.90,362000.00,-14000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1520.00,62.00,90.50,52.60,71.40,72.05,71.40,465.00,2957.58,130.38,499200.00,-89200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1620.00,165.00,182.50,148.95,169.40,171.60,169.40,66.00,471.87,44.19,208800.00,-22000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1780.00,324.00,324.00,324.00,324.00,324.00,328.05,1.00,8.42,1.30,4000.00,-400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1900.00,456.00,458.00,429.80,441.40,441.40,448.00,34.00,318.25,59.85,50400.00,-10400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1440.00,29.70,29.70,6.15,10.90,11.35,10.90,26547.00,154149.78,1239.06,1184800.00,468000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1580.00,120.00,146.05,109.00,130.70,131.90,130.70,211.00,1439.73,106.21,378800.00,-50000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1140.00,0.20,0.30,0.10,0.15,0.15,0.15,312.00,1422.90,0.18,159200.00,-26000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1320.00,5.95,5.95,0.35,0.70,0.65,0.70,4988.00,26351.07,14.43,504800.00,-746000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1660.00,215.00,215.00,190.00,204.00,204.00,208.15,20.00,148.91,16.11,120400.00,-6400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1340.00,5.00,6.75,0.60,1.05,1.05,1.05,6348.00,34052.43,27.15,940400.00,-260400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1700.00,278.55,278.55,228.20,248.25,249.00,248.25,129.00,1006.05,128.85,293200.00,-43600.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1540.00,80.10,107.50,70.60,91.00,91.85,91.00,183.00,1190.24,62.97,302000.00,-34000.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1280.00,1.50,3.35,0.15,0.30,0.30,0.30,2951.00,15113.16,4.04,747200.00,-223200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1920.00,-,-,-,273.95,273.95,468.00,-,-,-,4400.00,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1400.00,21.00,21.00,2.45,3.60,3.80,3.60,35510.00,199486.03,630.03,2560400.00,-561200.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,2000.00,564.70,565.95,544.55,545.70,549.00,545.70,43.00,439.00,95.00,120000.00,-12400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1720.00,253.95,265.00,253.95,265.00,265.00,268.10,2.00,15.84,2.08,159600.00,-400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1480.00,61.85,61.85,22.10,34.15,36.35,34.15,8920.00,53955.49,1149.09,1885200.00,-1092400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1840.00,392.00,392.00,374.00,384.00,384.00,388.05,4.00,35.61,6.17,20400.00,-1600.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1960.00,-,-,-,528.05,528.05,507.95,-,-,-,5200.00,-,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1420.00,29.80,29.80,3.70,5.95,6.20,5.95,22813.00,130213.74,635.90,1094800.00,400.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1740.00,270.00,280.00,269.40,280.00,280.00,288.10,4.00,32.20,4.36,129200.00,-1600.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1160.00,0.40,0.40,0.05,0.05,0.05,0.05,376.00,1744.81,0.17,69200.00,-40800.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1200.00,0.15,0.80,0.10,0.20,0.15,0.20,1923.00,9232.10,1.70,772000.00,-281600.00,1451.00
INFY,21-Apr-2025,24-Apr-2025,PE,1360.00,9.90,9.90,0.95,1.65,1.65,1.65,9510.00,51797.55,63.15,983600.00,-545200.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1760.00,-,-,-,358.00,358.00,298.40,-,-,-,800.00,-,1451.00
INFY,21-Apr-2025,29-May-2025,PE,2000.00,500.00,535.00,500.00,533.50,533.50,535.00,26.00,262.86,54.86,21600.00,8000.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1420.00,55.00,55.00,25.85,33.75,35.00,33.75,1723.00,10012.82,226.18,188000.00,95200.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1520.00,80.05,96.20,71.50,84.65,85.45,84.65,210.00,1346.05,69.25,74800.00,52800.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1240.00,8.05,8.95,5.00,6.85,7.25,6.85,1051.00,5240.41,27.45,118800.00,-78800.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1640.00,191.00,192.85,163.55,184.80,182.80,184.80,21.00,153.24,15.48,13600.00,-3600.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1360.00,37.05,37.05,14.00,19.05,19.35,19.05,1912.00,10539.08,137.80,308400.00,179600.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1460.00,51.50,56.00,41.30,49.75,51.05,49.75,1885.00,11363.52,355.12,273200.00,208000.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1800.00,340.95,341.00,313.00,335.00,335.00,335.00,58.00,494.97,77.37,38000.00,18800.00,1451.00
INFY,21-Apr-2025,29-May-2025,PE,1380.00,32.60,32.60,18.00,22.80,23.65,22.80,1749.00,9803.90,149.42,250000.00,136400.00,1451.00
