Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,21-Apr-2025,24-Apr-2025,CE,405.00,19.55,19.55,16.90,17.55,18.20,17.55,75.00,507.14,21.14,1379200.00,-30400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,455.00,0.10,0.15,0.10,0.10,0.10,0.10,126.00,917.52,0.24,462400.00,-62400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,425.00,3.05,4.45,1.60,1.80,1.85,1.80,13067.00,89288.07,432.47,4971200.00,1196800.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,395.00,-,-,-,29.95,29.95,28.10,-,-,-,206400.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,380.00,42.40,42.50,42.40,42.50,42.50,43.05,2.00,13.52,1.36,256000.00,-3200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,460.00,0.10,0.10,0.05,0.05,0.05,0.05,333.00,2451.29,0.41,1084800.00,-86400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,365.00,-,-,-,40.50,40.50,58.05,-,-,-,3200.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,360.00,-,-,-,55.10,55.10,63.05,-,-,-,1600.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,410.00,15.00,15.65,11.75,12.90,13.35,12.90,441.00,2983.64,90.68,9840000.00,-291200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,400.00,24.45,24.45,21.70,22.70,22.80,22.70,121.00,818.77,44.37,899200.00,-75200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,420.00,8.00,8.00,3.50,4.00,4.10,4.00,5431.00,36864.06,367.74,9206400.00,-174400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,480.00,0.10,0.10,0.05,0.10,0.05,0.10,116.00,891.01,0.13,390400.00,3200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,470.00,0.10,0.10,0.05,0.10,0.10,0.10,28.00,210.59,0.03,214400.00,-20800.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,375.00,-,-,-,31.40,31.65,48.05,-,-,-,30400.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,445.00,0.25,0.30,0.10,0.15,0.15,0.15,642.00,4572.82,1.78,985600.00,-14400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,370.00,-,-,-,36.10,36.10,53.05,-,-,-,9600.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,350.00,74.00,74.00,74.00,74.00,74.00,73.05,1.00,6.78,1.18,52800.00,-1600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,415.00,10.05,10.60,7.20,8.20,8.25,8.20,955.00,6468.30,127.10,2075200.00,-204800.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,435.00,0.90,1.15,0.40,0.45,0.45,0.45,2716.00,18925.95,22.59,1915200.00,-193600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,430.00,2.10,2.45,0.85,0.90,0.90,0.90,6840.00,47178.52,119.32,7624000.00,305600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,450.00,0.30,0.30,0.10,0.15,0.15,0.15,1233.00,8880.86,3.26,2982400.00,-214400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,385.00,-,-,-,42.55,42.55,38.10,-,-,-,201600.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,500.00,0.05,0.10,0.05,0.05,0.05,-,123.00,984.13,0.13,587200.00,-9600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,440.00,0.65,0.65,0.20,0.25,0.25,0.25,2207.00,15547.60,10.32,3137600.00,-174400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,465.00,-,-,-,1.05,-,-,-,-,-,-,-,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,390.00,32.50,33.50,32.50,33.50,33.50,33.10,3.00,20.30,1.58,267200.00,-1600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,CE,490.00,-,-,-,4.55,-,-,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,410.00,21.30,21.50,20.10,20.65,20.65,20.65,147.00,1012.88,48.56,248000.00,19200.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,450.00,4.05,4.15,3.20,3.30,3.35,3.30,1314.00,9533.38,72.58,1891200.00,448000.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,385.00,-,-,-,33.65,-,41.55,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,480.00,1.00,1.00,0.70,0.80,0.80,0.80,226.00,1738.51,2.83,366400.00,129600.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,445.00,4.70,4.75,4.20,4.25,4.20,4.25,125.00,898.89,8.89,152000.00,35200.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,375.00,-,-,-,41.70,-,50.90,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,390.00,-,-,-,28.40,-,37.05,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,395.00,-,-,-,26.40,-,32.75,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,415.00,17.45,18.00,16.75,16.95,17.10,16.95,112.00,774.48,30.80,158400.00,124800.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,420.00,15.05,15.75,13.75,14.15,14.15,14.15,1035.00,7191.76,236.56,788800.00,342400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,365.00,-,-,-,50.40,-,60.60,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,425.00,12.45,12.80,11.05,11.35,11.50,11.35,1119.00,7817.23,208.03,633600.00,385600.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,435.00,8.40,8.40,7.05,7.20,7.20,7.20,342.00,2420.84,40.52,328000.00,102400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,370.00,-,-,-,42.60,-,55.70,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,400.00,28.80,29.30,27.70,28.45,28.75,28.45,142.00,973.69,64.89,230400.00,-20800.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,440.00,6.50,6.55,5.40,5.55,5.65,5.55,787.00,5613.44,72.96,849600.00,342400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,460.00,2.25,2.30,1.85,1.95,1.95,1.95,513.00,3791.90,16.22,1092800.00,342400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,455.00,2.85,2.85,2.45,2.50,2.50,2.50,58.00,424.69,2.45,97600.00,28800.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,430.00,11.05,11.05,8.90,9.10,9.25,9.10,1394.00,9799.99,209.27,1364800.00,502400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,360.00,-,-,-,50.75,-,65.50,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,405.00,24.10,25.30,23.85,24.50,24.50,24.50,23.00,158.00,8.96,35200.00,11200.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,350.00,-,-,-,59.40,-,75.35,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,380.00,-,-,-,35.10,-,46.20,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,CE,465.00,1.50,1.55,1.45,1.50,1.50,1.50,25.00,186.61,0.61,54400.00,22400.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,470.00,1.40,1.40,1.10,1.15,1.15,1.15,190.00,1432.38,3.58,371200.00,108800.00,422.85
ITC,21-Apr-2025,29-May-2025,CE,490.00,0.30,0.60,0.30,0.60,0.60,0.60,42.00,329.65,0.37,49600.00,49600.00,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,450.00,-,-,-,6.90,-,7.55,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,430.00,-,-,-,12.70,-,14.80,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,410.00,-,-,-,21.60,-,25.90,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,390.00,-,-,-,33.85,-,40.75,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,370.00,-,-,-,49.20,-,58.30,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,340.00,-,-,-,76.10,-,87.10,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,360.00,-,-,-,57.80,-,67.70,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,420.00,-,-,-,16.75,-,19.85,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,480.00,-,-,-,2.40,-,2.20,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,470.00,-,-,-,3.45,-,3.45,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,380.00,-,-,-,41.20,-,49.25,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,440.00,-,-,-,9.45,-,10.70,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,400.00,-,-,-,27.30,-,32.90,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,CE,460.00,-,-,-,3.20,3.20,5.15,-,-,-,4800.00,-,422.85
ITC,22-Apr-2025,24-Apr-2025,CE,430.00,1.00,4.30,0.85,3.65,3.85,3.65,21466.00,148399.75,713.67,3620800.00,-4003200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,480.00,0.05,0.10,0.05,0.10,0.10,0.10,56.00,430.17,0.09,412800.00,22400.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,380.00,45.15,49.85,45.00,49.85,49.85,53.75,20.00,136.30,14.70,243200.00,-12800.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,440.00,0.20,1.25,0.20,1.10,1.10,1.10,7275.00,51299.60,83.60,3812800.00,675200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,420.00,4.60,13.20,4.15,12.25,12.85,12.25,4222.00,28857.43,485.59,8910400.00,-296000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,390.00,33.90,36.50,33.90,36.50,36.50,43.75,5.00,34.02,2.82,262400.00,-4800.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,365.00,-,-,-,40.50,40.50,68.75,-,-,-,3200.00,-,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,360.00,-,-,-,55.10,55.10,73.75,-,-,-,1600.00,-,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,435.00,0.45,2.30,0.40,1.95,2.05,1.95,13724.00,95814.90,295.86,3604800.00,1689600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,410.00,13.50,23.10,13.40,22.00,22.75,22.00,712.00,4869.22,198.50,9614400.00,-225600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,CE,405.00,18.10,26.75,18.10,26.70,26.65,26.70,43.00,293.39,14.75,1360000.00,-19200.00,433.60
