Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
ITC,21-Apr-2025,24-Apr-2025,PE,395.00,0.15,0.15,0.10,0.15,0.15,0.15,72.00,455.20,0.16,515200.00,-41600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,440.00,15.90,18.25,15.90,17.25,17.10,17.25,190.00,1390.08,52.48,232000.00,-16000.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,425.00,2.50,4.95,2.25,3.90,3.75,3.90,4016.00,27573.02,264.22,1518400.00,-574400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,420.00,0.85,1.85,0.70,1.20,1.15,1.20,8048.00,54265.86,183.30,4531200.00,-641600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,415.00,0.30,0.55,0.30,0.40,0.35,0.40,2951.00,19613.76,19.12,2328000.00,-406400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,400.00,0.10,0.20,0.10,0.15,0.10,0.15,595.00,3809.18,1.18,2395200.00,-480000.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,360.00,0.05,0.10,0.05,0.05,0.05,0.05,8.00,46.09,0.01,307200.00,-9600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,405.00,0.15,0.20,0.05,0.15,0.15,0.15,498.00,3228.01,0.97,1801600.00,56000.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,340.00,0.05,0.05,0.05,0.05,0.05,-,41.00,223.07,0.03,198400.00,-11200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,385.00,0.05,0.15,0.05,0.05,0.05,-,37.00,227.97,0.05,366400.00,-46400.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,430.00,6.95,9.10,6.00,7.95,7.90,7.95,1264.00,8858.80,162.48,851200.00,-260800.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,350.00,0.05,0.05,0.05,0.05,0.05,-,22.00,123.22,0.02,430400.00,-8000.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,470.00,48.50,48.50,48.50,48.50,48.50,46.90,1.00,8.30,0.78,68800.00,-1600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,465.00,-,-,-,59.35,-,41.90,-,-,-,-,-,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,435.00,11.50,13.55,11.25,12.45,12.35,12.45,267.00,1911.76,53.44,163200.00,-33600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,445.00,23.00,23.00,23.00,23.00,23.00,21.95,3.00,22.46,1.10,91200.00,-3200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,365.00,-,-,-,0.10,0.10,-,-,-,-,224000.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,455.00,-,-,-,33.65,33.65,31.95,-,-,-,20800.00,-,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,480.00,57.70,57.70,57.05,57.50,57.50,57.50,6.00,51.60,5.52,105600.00,-9600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,490.00,-,-,-,50.20,-,66.90,-,-,-,-,-,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,410.00,0.15,0.20,0.10,0.15,0.15,0.15,1038.00,6811.89,2.61,4795200.00,-51200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,450.00,27.20,28.15,26.15,27.10,27.10,27.10,36.00,274.61,15.41,609600.00,-19200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,370.00,0.05,0.10,0.05,0.05,0.05,-,36.00,213.15,0.03,340800.00,-51200.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,390.00,0.10,0.15,0.05,0.10,0.05,0.10,182.00,1135.98,0.30,1025600.00,-100800.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,380.00,0.10,0.10,0.05,0.10,0.10,0.10,122.00,741.94,0.18,772800.00,-121600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,375.00,0.10,0.10,0.10,0.10,0.10,0.10,14.00,84.02,0.02,273600.00,-9600.00,422.85
ITC,21-Apr-2025,24-Apr-2025,PE,460.00,38.00,38.00,37.75,37.75,37.75,36.90,6.00,47.80,3.64,57600.00,-1600.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,400.00,2.75,3.25,2.75,2.85,2.85,2.85,583.00,3759.10,27.90,1246400.00,272000.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,350.00,0.35,0.50,0.35,0.45,0.45,0.45,25.00,140.18,0.18,40000.00,11200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,465.00,-,-,-,51.80,-,40.50,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,PE,420.00,7.15,9.25,7.15,8.45,8.40,8.45,721.00,4944.71,99.59,1046400.00,283200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,430.00,12.10,14.30,11.90,13.40,13.35,13.40,659.00,4675.44,141.52,396800.00,-52800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,435.00,16.70,17.20,15.85,16.55,16.55,16.55,30.00,216.68,7.88,25600.00,22400.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,370.00,0.80,0.80,0.65,0.65,0.65,0.65,53.00,314.39,0.63,203200.00,40000.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,385.00,-,-,-,4.35,-,1.00,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,PE,470.00,45.50,45.75,44.15,44.15,44.15,44.15,7.00,57.71,5.07,54400.00,8000.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,360.00,0.80,0.80,0.50,0.55,0.55,0.55,20.00,115.38,0.18,32000.00,22400.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,405.00,3.80,4.25,3.70,3.80,3.80,3.80,240.00,1570.66,15.46,278400.00,174400.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,380.00,0.85,1.15,0.85,1.00,1.00,1.00,136.00,829.16,2.28,275200.00,116800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,390.00,1.45,1.85,1.45,1.60,1.65,1.60,198.00,1240.90,5.38,712000.00,108800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,480.00,54.80,54.80,54.80,54.80,54.80,54.80,3.00,25.67,2.63,4800.00,4800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,440.00,19.25,21.00,19.05,19.95,21.00,19.95,119.00,875.26,37.50,192000.00,115200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,365.00,-,-,-,0.45,0.45,0.15,-,-,-,86400.00,-,422.85
ITC,21-Apr-2025,29-May-2025,PE,450.00,25.55,28.45,25.55,27.30,27.30,27.30,97.00,741.05,42.65,308800.00,99200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,375.00,0.90,1.00,0.80,0.80,0.80,0.80,49.00,294.74,0.74,75200.00,60800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,460.00,36.20,36.50,35.40,36.00,36.00,36.00,8.00,63.51,4.63,46400.00,12800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,415.00,6.00,7.30,6.00,6.55,6.50,6.55,187.00,1262.07,20.39,246400.00,99200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,455.00,-,-,-,43.15,-,31.85,-,-,-,-,-,422.85
ITC,21-Apr-2025,29-May-2025,PE,395.00,2.20,2.40,2.05,2.10,2.10,2.10,60.00,381.33,2.13,177600.00,19200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,425.00,9.55,11.55,9.55,10.90,10.70,10.90,394.00,2748.72,69.52,409600.00,96000.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,445.00,24.00,24.00,23.35,23.65,23.65,23.65,12.00,90.00,4.56,11200.00,11200.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,410.00,4.30,5.60,4.25,5.05,5.00,5.05,602.00,3999.57,50.45,929600.00,236800.00,422.85
ITC,21-Apr-2025,29-May-2025,PE,490.00,64.00,64.00,64.00,64.00,64.00,64.00,2.00,17.73,2.05,3200.00,3200.00,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,360.00,-,-,-,1.85,-,0.45,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,340.00,-,-,-,0.55,-,0.10,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,430.00,-,-,-,25.50,-,16.70,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,450.00,-,-,-,39.35,-,29.20,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,380.00,-,-,-,4.90,-,1.80,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,400.00,-,-,-,10.65,-,5.20,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,440.00,-,-,-,32.10,-,22.50,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,480.00,-,-,-,64.30,-,53.50,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,410.00,-,-,-,14.75,-,8.05,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,370.00,-,-,-,3.10,-,0.95,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,420.00,10.70,10.70,10.70,10.70,10.70,11.90,1.00,6.89,0.17,1600.00,1600.00,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,390.00,-,-,-,7.40,-,3.15,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,460.00,-,-,-,47.20,-,36.70,-,-,-,-,-,422.85
ITC,21-Apr-2025,26-Jun-2025,PE,470.00,-,-,-,55.55,-,44.85,-,-,-,-,-,422.85
ITC,22-Apr-2025,24-Apr-2025,PE,365.00,0.05,0.05,0.05,0.05,0.05,-,7.00,40.89,0.01,212800.00,-11200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,390.00,0.10,0.10,0.05,0.10,0.05,0.10,97.00,605.39,0.11,987200.00,-38400.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,460.00,37.50,37.50,27.05,27.05,27.05,27.05,9.00,70.88,4.64,51200.00,-6400.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,465.00,-,-,-,59.35,-,31.25,-,-,-,-,-,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,470.00,45.00,45.85,36.90,37.45,36.90,37.45,37.00,303.52,25.28,44800.00,-24000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,405.00,0.15,0.15,0.05,0.05,0.05,-,128.00,829.56,0.12,1667200.00,-134400.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,370.00,0.05,0.05,0.05,0.05,0.05,-,12.00,71.05,0.01,323200.00,-17600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,490.00,-,-,-,50.20,-,56.25,-,-,-,-,-,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,400.00,0.10,0.10,0.05,0.10,0.10,0.10,601.00,3847.17,0.77,2057600.00,-337600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,430.00,7.50,7.50,0.95,1.30,1.05,1.30,4773.00,33079.55,241.31,1947200.00,1096000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,385.00,0.05,0.05,0.05,0.05,0.05,-,26.00,160.18,0.02,329600.00,-36800.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,410.00,0.10,0.10,0.05,0.05,0.05,0.05,907.00,5950.73,0.81,4547200.00,-248000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,415.00,0.30,0.30,0.05,0.10,0.10,0.10,1242.00,8249.53,2.65,2238400.00,-89600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,420.00,1.05,1.20,0.05,0.10,0.05,0.10,6061.00,40758.27,28.35,5638400.00,1107200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,435.00,11.45,11.80,3.85,4.50,4.05,4.50,774.00,5468.31,81.27,494400.00,331200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,440.00,16.20,16.45,7.85,8.40,8.15,8.40,378.00,2729.79,68.67,347200.00,115200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,360.00,0.05,0.10,0.05,0.05,0.05,-,34.00,195.87,0.03,307200.00,-,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,380.00,0.10,0.10,0.05,0.05,0.05,0.05,134.00,814.84,0.12,800000.00,27200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,445.00,21.00,21.00,12.30,12.85,12.65,12.85,80.00,588.08,18.48,89600.00,-1600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,455.00,-,-,-,33.65,33.65,21.25,-,-,-,20800.00,-,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,480.00,55.00,55.00,50.00,50.25,50.25,46.25,12.00,102.11,9.95,97600.00,-8000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,340.00,0.05,0.05,0.05,0.05,0.05,0.05,9.00,48.97,0.01,195200.00,-3200.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,395.00,0.05,0.10,0.05,0.05,0.05,0.05,92.00,581.52,0.08,411200.00,-104000.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,350.00,0.05,0.05,0.05,0.05,0.05,0.05,16.00,89.61,0.01,412800.00,-17600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,450.00,25.80,26.30,17.20,17.90,17.25,17.90,275.00,2084.55,104.55,388800.00,-220800.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,375.00,0.05,0.10,0.05,0.05,0.05,-,42.00,252.04,0.04,272000.00,-1600.00,433.60
ITC,22-Apr-2025,24-Apr-2025,PE,425.00,3.05,3.45,0.20,0.25,0.25,0.25,7257.00,49493.10,145.50,3224000.00,1705600.00,433.60
ITC,22-Apr-2025,29-May-2025,PE,445.00,22.60,22.75,16.60,17.05,16.60,17.05,25.00,185.11,7.11,19200.00,8000.00,433.60
