Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1520.00,0.10,0.10,0.05,0.10,0.10,0.10,98.00,744.84,0.04,544500.00,-26000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1060.00,-,-,-,165.00,165.00,169.30,-,-,-,500.00,-,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1400.00,0.20,0.25,0.15,0.20,0.20,0.20,2395.00,16767.25,2.25,5805500.00,-846000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1140.00,93.00,93.00,93.00,93.00,93.00,89.40,1.00,6.17,0.47,57000.00,-,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1160.00,71.65,78.00,66.95,66.95,66.95,69.65,105.00,646.98,37.98,468000.00,-34000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1080.00,-,-,-,140.50,140.50,149.30,-,-,-,-,-,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1110.00,-,-,-,131.75,-,119.35,-,-,-,-,-,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1290.00,0.95,1.00,0.40,0.45,0.40,0.45,3727.00,24053.46,14.31,2954500.00,-46500.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1280.00,1.20,1.25,0.40,0.50,0.45,0.50,7382.00,47276.74,31.94,5862500.00,-366500.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1350.00,0.40,0.40,0.20,0.25,0.30,0.25,1544.00,10424.20,2.20,2257500.00,-211500.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1380.00,0.25,0.25,0.15,0.25,0.25,0.25,114.00,786.73,0.13,280000.00,-33500.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1300.00,0.75,0.80,0.35,0.40,0.40,0.40,8012.00,52102.44,24.44,9964000.00,-549000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1170.00,58.50,67.15,55.45,58.20,58.00,58.20,53.00,326.09,16.04,111500.00,-1000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1500.00,0.10,0.10,0.05,0.10,0.05,0.10,342.00,2565.15,0.15,2337500.00,-135000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1340.00,0.30,0.40,0.20,0.25,0.25,0.25,399.00,2673.88,0.58,959000.00,-100000.00,1228.15
RELIANCE,21-Feb-2025,27-Feb-2025,CE,1100.00,136.10,138.00,126.20,131.25,131.25,129.30,33.00,203.54,22.04,76500.00,-7500.00,1228.15
