Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1080.00,0.10,0.10,0.05,0.05,0.05,0.05,64.00,345.62,0.02,250000.00,-14000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1220.00,0.55,0.55,0.20,0.30,0.30,0.30,1174.00,7163.33,1.93,1279500.00,-86000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,960.00,0.10,0.15,0.05,0.05,0.05,0.05,68.00,326.43,0.03,295500.00,-32500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,990.00,-,-,-,0.50,0.50,-,-,-,-,3000.00,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1230.00,0.40,0.50,0.25,0.30,0.30,0.30,1079.00,6637.62,1.77,1101500.00,-74000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1070.00,0.15,0.15,0.10,0.10,0.10,-,48.00,256.83,0.03,172500.00,12000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1400.00,110.85,116.85,102.00,112.25,112.85,112.25,819.00,6175.45,442.45,757000.00,-257500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1500.00,204.50,215.35,201.65,211.95,212.50,211.95,379.00,3230.46,387.96,1101000.00,-169500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1200.00,0.40,0.40,0.20,0.25,0.25,0.25,1902.00,11414.76,2.76,2302000.00,-257500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1330.00,37.15,46.70,33.60,43.15,43.60,43.15,407.00,2790.16,83.61,160500.00,-45000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1380.00,86.00,92.70,85.55,92.55,92.70,92.55,6.00,44.04,2.64,37000.00,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1250.00,1.00,1.05,0.35,0.45,0.40,0.45,3577.00,22365.69,9.44,1543000.00,-29000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1340.00,46.45,56.45,43.35,52.20,52.90,52.20,207.00,1438.45,51.55,171500.00,-5000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1040.00,0.10,0.15,0.05,0.05,0.05,-,46.00,239.22,0.02,195500.00,-12500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1360.00,63.30,69.00,62.35,68.05,68.05,68.35,59.00,420.58,19.38,175000.00,1500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1050.00,0.15,0.15,0.05,0.10,0.10,0.10,50.00,262.53,0.03,180000.00,-3500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1240.00,0.90,0.90,0.30,0.35,0.35,0.35,1837.00,11392.79,3.39,1269500.00,-156500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1270.00,2.40,2.60,0.85,1.40,1.55,1.40,10237.00,65084.65,79.70,1130000.00,276000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1420.00,125.00,133.50,125.00,133.00,133.00,128.30,15.00,116.40,9.90,106000.00,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1300.00,12.80,20.20,10.40,16.50,17.30,16.50,9945.00,65338.27,695.77,1320000.00,-276500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1010.00,0.15,0.15,0.10,0.10,0.10,-,5.00,25.25,-,20000.00,-2000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1120.00,0.30,0.30,0.10,0.15,0.15,0.15,105.00,588.09,0.09,335500.00,-26500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1480.00,186.00,196.00,182.05,192.50,192.85,192.50,725.00,6036.92,671.92,314500.00,-288500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1320.00,26.75,37.90,25.00,33.60,34.50,33.60,2810.00,18959.33,413.33,506500.00,36500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,980.00,0.10,0.15,0.10,0.15,0.15,0.15,159.00,779.21,0.11,412500.00,-5500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1110.00,0.10,0.20,0.05,0.10,0.10,0.10,128.00,710.47,0.07,137000.00,-20500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1140.00,0.35,0.35,0.15,0.20,0.15,0.20,273.00,1556.40,0.30,472000.00,-13000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1280.00,3.90,5.55,1.75,3.10,3.35,3.10,21045.00,135035.09,347.09,1752500.00,11000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1170.00,0.30,0.35,0.20,0.25,0.25,0.25,247.00,1445.27,0.32,367000.00,-22500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1310.00,18.90,28.65,17.25,24.90,25.95,24.90,3663.00,24389.77,397.12,462500.00,85500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1190.00,0.35,0.40,0.15,0.25,0.25,0.25,603.00,3588.63,0.78,418500.00,-131500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1350.00,56.60,66.30,52.25,62.95,63.20,62.95,436.00,3065.75,122.75,867500.00,-98500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1030.00,-,-,-,0.20,0.20,-,-,-,-,1000.00,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1370.00,76.80,81.80,72.50,77.70,77.70,78.35,41.00,296.79,15.94,53500.00,2000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1390.00,-,-,-,105.00,105.00,98.30,-,-,-,16000.00,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1090.00,0.10,0.15,0.05,0.05,0.05,0.05,114.00,621.34,0.04,364000.00,1000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1410.00,-,-,-,191.80,-,118.30,-,-,-,-,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1150.00,0.30,0.30,0.15,0.20,0.20,0.20,602.00,3462.17,0.67,689000.00,-62000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1440.00,147.50,156.00,143.00,151.90,152.25,151.90,42.00,333.33,30.93,84500.00,-3000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1460.00,164.00,175.00,164.00,171.80,171.50,171.80,23.00,187.51,19.61,60500.00,-6500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1160.00,0.35,0.40,0.15,0.20,0.20,0.20,384.00,2227.69,0.49,610000.00,-67500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1210.00,0.25,0.40,0.10,0.15,0.15,0.15,836.00,5058.79,0.99,554000.00,-100500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1060.00,0.15,0.15,0.05,0.05,0.05,0.05,30.00,159.01,0.01,315000.00,-9500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1130.00,0.30,0.30,0.05,0.10,0.10,0.10,703.00,3972.32,0.37,346500.00,-63500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1100.00,0.15,0.20,0.10,0.15,0.15,0.15,622.00,3421.45,0.45,1066000.00,-161500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1290.00,8.80,12.05,4.90,8.70,9.35,8.70,16540.00,107317.60,634.60,837500.00,65500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1180.00,0.30,0.45,0.10,0.15,0.15,0.15,1016.00,5995.49,1.09,710500.00,-179000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,970.00,-,-,-,0.40,-,-,-,-,-,-,-,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1000.00,0.10,0.20,0.10,0.15,0.15,0.15,229.00,1145.16,0.16,461000.00,-27500.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1020.00,0.05,0.05,0.05,0.05,0.05,-,24.00,122.41,0.01,100500.00,-5000.00,1291.20
RELIANCE,22-Apr-2025,24-Apr-2025,PE,1260.00,1.25,1.25,0.50,0.70,0.60,0.70,7638.00,48148.50,29.10,1585500.00,-24000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1260.00,22.25,26.20,21.00,24.80,24.95,24.80,945.00,6063.65,110.15,355500.00,72000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1460.00,158.50,166.50,154.00,163.05,164.05,163.05,212.00,1717.01,169.41,757500.00,39000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1140.00,3.35,3.95,3.20,3.70,3.95,3.70,87.00,497.43,1.53,159500.00,22500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1000.00,1.15,1.20,1.05,1.15,1.15,1.15,126.00,630.70,0.70,510000.00,20500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1190.00,8.00,9.65,7.55,9.05,9.10,9.05,127.00,761.08,5.43,111500.00,24500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1050.00,1.20,1.40,1.20,1.30,1.30,0.20,10.00,52.56,0.07,18500.00,1000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1420.00,117.80,127.50,117.80,127.50,127.50,127.90,12.00,92.72,7.52,89500.00,2000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1300.00,37.15,43.00,35.50,40.55,41.20,40.55,4058.00,27150.68,773.68,1495000.00,494500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1520.00,218.00,225.70,211.80,221.40,221.20,221.40,793.00,6887.92,861.12,577500.00,304500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1020.00,-,-,-,4.50,-,0.10,-,-,-,-,-,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1410.00,-,-,-,131.30,-,119.40,-,-,-,-,-,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1170.00,5.95,7.10,5.25,6.45,6.35,6.45,360.00,2116.92,10.92,148000.00,62500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,970.00,-,-,-,0.85,0.85,0.05,-,-,-,1500.00,-,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1210.00,11.00,13.55,10.30,12.50,12.70,12.50,292.00,1783.59,16.99,160500.00,43500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1360.00,73.40,76.70,69.15,76.70,76.70,80.50,106.00,758.84,38.04,57500.00,27000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1370.00,80.00,80.00,80.00,80.00,80.00,80.00,5.00,36.25,2.00,3000.00,2500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1070.00,1.50,1.50,1.40,1.45,1.45,0.40,9.00,48.22,0.07,10500.00,-,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1230.00,14.90,17.90,13.85,16.65,16.80,16.65,175.00,1089.91,13.66,168000.00,4500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1240.00,17.70,20.50,15.00,19.00,18.95,19.00,618.00,3886.84,55.24,313000.00,68500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1290.00,32.35,38.05,31.50,36.20,36.00,36.20,955.00,6324.04,164.29,290000.00,142500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1310.00,40.85,47.75,40.15,45.55,46.15,45.55,850.00,5748.81,181.31,231500.00,185000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,960.00,0.85,0.90,0.85,0.90,0.90,-,4.00,19.22,0.02,33500.00,500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1320.00,46.55,53.15,45.00,51.00,51.55,51.00,657.00,4494.65,158.46,226500.00,93500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1220.00,12.55,15.60,11.95,14.45,14.30,14.45,897.00,5534.01,62.31,460500.00,139500.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1110.00,2.65,2.65,2.50,2.50,2.50,1.25,2.00,11.13,0.03,3000.00,1000.00,1291.20
RELIANCE,22-Apr-2025,29-May-2025,PE,1330.00,50.90,59.25,50.55,56.60,56.90,56.60,229.00,1584.87,62.02,62500.00,42000.00,1291.20
