Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,21-Apr-2025,24-Apr-2025,CE,770.00,32.70,53.40,30.00,46.00,46.05,46.00,1380.00,8415.25,445.75,1847250.00,-310500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,780.00,23.50,43.40,20.30,36.35,36.40,36.35,2982.00,18218.16,773.46,3839250.00,-598500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,860.00,0.50,1.50,0.35,0.65,0.55,0.65,10392.00,67106.38,77.98,1590000.00,650250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,880.00,0.25,0.65,0.20,0.30,0.25,0.30,2606.00,17208.45,8.85,705750.00,226500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,660.00,-,-,-,106.35,106.35,157.05,-,-,-,7500.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,670.00,-,-,-,80.00,80.00,147.10,-,-,-,7500.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,680.00,140.00,140.00,140.00,140.00,140.00,137.10,1.00,6.15,1.05,111750.00,-750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,690.00,-,-,-,78.85,78.85,127.10,-,-,-,71250.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,710.00,-,-,-,89.00,89.00,107.10,-,-,-,57000.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,720.00,94.00,100.00,94.00,95.00,95.00,97.10,89.00,546.58,65.98,263250.00,-5250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,730.00,70.00,93.00,70.00,87.00,87.00,87.10,61.00,374.46,40.49,379500.00,-15750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,600.00,197.50,222.50,197.50,215.95,215.95,217.05,23.00,140.36,36.86,27000.00,-1500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,830.00,1.10,6.50,1.10,3.20,2.90,3.20,39752.00,248871.75,1415.55,3364500.00,1773000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,850.00,0.70,2.35,0.65,1.05,1.00,1.05,23097.00,147519.38,276.00,2350500.00,780000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,870.00,0.30,0.95,0.30,0.40,0.35,0.40,5178.00,33811.01,24.56,889500.00,268500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,900.00,0.20,0.40,0.15,0.20,0.20,0.20,2874.00,19405.75,6.25,1171500.00,384000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,610.00,-,-,-,87.15,87.15,207.05,-,-,-,1500.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,800.00,8.55,24.60,6.95,17.40,17.20,17.40,20776.00,127040.21,2384.21,4399500.00,-2693250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,810.00,4.20,16.60,4.15,10.05,9.60,10.05,26101.00,160593.54,2029.97,1636500.00,-1593000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,840.00,1.00,3.90,1.00,1.80,1.65,1.80,21931.00,138616.30,451.00,2586000.00,1089750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,740.00,58.00,83.25,58.00,75.95,76.00,75.95,148.00,907.34,85.94,720000.00,-65250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,640.00,-,-,-,111.60,112.15,177.05,-,-,-,14250.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,650.00,157.00,172.70,157.00,166.40,166.40,167.05,28.00,171.73,35.23,72750.00,10500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,700.00,106.00,120.00,106.00,115.95,115.75,115.95,42.00,256.74,36.24,261000.00,-18000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,790.00,15.00,33.65,13.40,26.80,26.45,26.80,3787.00,23119.39,681.41,1657500.00,-687000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,820.00,2.20,10.50,2.00,5.50,5.20,5.50,55435.00,343944.20,3018.95,3865500.00,1508250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,760.00,38.00,63.00,38.00,56.40,56.50,56.40,392.00,2399.18,164.78,1277250.00,-138750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,CE,750.00,50.95,73.00,50.75,66.10,66.85,66.10,477.00,2920.40,237.27,1568250.00,-189750.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,870.00,13.00,13.00,10.35,10.80,10.80,10.80,646.00,4271.56,56.41,197250.00,197250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,750.00,58.10,81.65,58.10,76.00,76.00,76.00,532.00,3290.92,298.42,354750.00,-43500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,770.00,47.00,65.20,47.00,58.75,60.00,58.75,576.00,3584.95,258.55,407250.00,-169500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,640.00,-,-,-,89.50,-,181.40,-,-,-,-,-,816.70
SBIN,21-Apr-2025,29-May-2025,CE,820.00,19.05,32.30,17.20,28.30,28.30,28.30,6418.00,40832.10,1361.40,1335750.00,806250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,850.00,11.05,19.00,10.50,16.20,16.25,16.20,5640.00,36649.00,694.00,1572000.00,520500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,830.00,15.50,27.20,15.50,23.95,23.85,23.95,3605.00,23073.92,632.79,916500.00,634500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,800.00,26.25,43.90,26.25,39.00,39.20,39.00,5886.00,36986.39,1670.39,2054250.00,-441000.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,700.00,102.90,127.40,102.90,121.50,121.25,121.50,87.00,534.29,77.54,198750.00,23250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,710.00,-,-,-,70.40,70.40,114.30,-,-,-,750.00,-,816.70
SBIN,21-Apr-2025,29-May-2025,CE,790.00,37.20,50.45,37.15,45.90,45.50,45.90,407.00,2550.24,138.76,248250.00,-31500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,880.00,5.00,10.40,5.00,8.65,8.75,8.65,1950.00,12999.18,129.18,997500.00,179250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,670.00,-,-,-,115.85,-,152.05,-,-,-,-,-,816.70
SBIN,21-Apr-2025,29-May-2025,CE,660.00,-,-,-,75.55,-,161.75,-,-,-,-,-,816.70
SBIN,21-Apr-2025,29-May-2025,CE,740.00,72.00,89.50,72.00,84.55,84.55,88.05,40.00,246.96,24.96,166500.00,-9750.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,680.00,143.00,143.65,143.00,143.65,143.65,142.40,2.00,12.35,2.15,1500.00,1500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,780.00,40.00,57.80,38.85,52.40,52.50,52.40,1226.00,7647.77,475.67,926250.00,-271500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,760.00,56.40,73.20,55.00,67.55,68.00,67.55,263.00,1630.49,131.39,438750.00,-19500.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,730.00,77.00,91.50,77.00,91.00,91.00,96.50,13.00,79.89,8.72,148500.00,-5250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,900.00,6.00,7.05,4.30,5.55,5.55,5.55,4187.00,28452.32,190.07,974250.00,974250.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,720.00,105.00,105.85,103.00,103.00,103.00,105.25,24.00,148.58,18.98,28500.00,-6000.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,690.00,-,-,-,99.15,-,132.90,-,-,-,-,-,816.70
SBIN,21-Apr-2025,29-May-2025,CE,860.00,8.15,15.70,8.15,13.35,13.20,13.35,2069.00,13556.23,211.18,992250.00,384000.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,810.00,23.95,37.75,23.85,33.45,33.40,33.45,2594.00,16389.42,630.87,462750.00,21000.00,816.70
SBIN,21-Apr-2025,29-May-2025,CE,840.00,13.25,22.80,12.05,19.70,19.75,19.70,2646.00,17065.46,395.66,907500.00,250500.00,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,800.00,35.65,47.70,35.20,44.50,43.90,44.50,105.00,664.63,34.63,230250.00,9000.00,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,760.00,61.00,61.00,61.00,61.00,61.00,82.90,2.00,12.31,0.92,750.00,750.00,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,840.00,26.00,29.00,25.50,25.55,25.60,25.55,17.00,110.54,3.44,12750.00,12750.00,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,740.00,-,-,-,72.60,-,97.60,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,640.00,-,-,-,148.45,-,185.55,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,820.00,-,-,-,34.00,-,46.90,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,660.00,-,-,-,131.25,-,166.65,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,700.00,-,-,-,99.65,-,130.45,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,860.00,19.50,22.20,18.90,18.90,18.90,30.05,27.00,178.22,4.07,18000.00,18000.00,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,780.00,-,-,-,42.90,42.90,69.45,-,-,-,750.00,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,720.00,-,-,-,85.50,-,113.50,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,680.00,-,-,-,114.95,-,148.20,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,880.00,-,-,-,17.35,-,23.60,-,-,-,-,-,816.70
SBIN,21-Apr-2025,26-Jun-2025,CE,920.00,-,-,-,10.55,-,14.00,-,-,-,-,-,816.70
