Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
SBIN,21-Apr-2025,24-Apr-2025,PE,720.00,0.15,0.20,0.10,0.20,0.15,0.20,563.00,3040.82,0.62,815250.00,-55500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,880.00,62.10,65.15,59.40,64.70,63.60,64.70,144.00,1017.62,67.22,91500.00,-9750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,780.00,3.30,3.30,0.40,0.50,0.40,0.50,7906.00,46292.01,41.91,2391000.00,-102750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,650.00,0.10,0.10,0.05,0.05,0.05,0.05,173.00,843.45,0.07,426000.00,-61500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,870.00,54.20,54.20,48.70,53.20,53.75,53.20,48.00,331.85,18.65,25500.00,16500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,580.00,0.05,0.05,0.05,0.05,0.05,-,10.00,43.50,-,99000.00,7500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,630.00,0.05,0.05,0.05,0.05,0.05,-,1.00,4.73,-,96750.00,-750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,670.00,0.10,0.15,0.05,0.05,0.05,0.05,170.00,854.34,0.09,234750.00,-57750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,680.00,0.10,0.15,0.05,0.10,0.15,0.10,188.00,958.93,0.13,522750.00,-23250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,770.00,0.80,1.60,0.30,0.35,0.30,0.35,4092.00,23645.06,13.76,2274750.00,-496500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,790.00,6.70,6.75,0.70,0.80,0.70,0.80,13213.00,78419.13,132.11,2198250.00,350250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,690.00,0.20,0.20,0.05,0.10,0.10,0.10,247.00,1278.41,0.18,395250.00,-86250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,700.00,0.15,0.15,0.05,0.10,0.05,0.10,715.00,3754.22,0.47,1906500.00,-136500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,860.00,53.30,53.30,38.80,44.65,44.75,44.65,159.00,1077.10,51.55,177750.00,-27000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,560.00,0.10,0.15,0.10,0.10,0.10,-,29.00,121.83,0.03,57000.00,-7500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,610.00,-,-,-,0.05,0.05,-,-,-,-,40500.00,-,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,640.00,0.05,0.05,0.05,0.05,0.05,-,20.00,96.01,0.01,162750.00,-6000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,820.00,22.85,22.85,7.35,9.30,9.20,9.30,16969.00,105600.35,1241.00,2067000.00,1913250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,710.00,0.05,0.15,0.05,0.15,0.15,0.15,354.00,1885.37,0.32,787500.00,750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,900.00,97.15,97.15,77.00,83.75,83.35,83.75,211.00,1555.06,130.81,237000.00,-24750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,620.00,0.10,0.10,0.05,0.05,0.05,-,8.00,37.20,-,21750.00,-2250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,760.00,1.05,1.05,0.25,0.30,0.30,0.30,3220.00,18362.31,8.31,2177250.00,-439500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,800.00,7.00,9.90,1.45,1.60,1.50,1.60,32935.00,198213.33,603.33,4557750.00,620250.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,850.00,51.10,51.10,29.10,34.70,34.60,34.70,300.00,1989.12,76.62,285000.00,-24750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,730.00,0.25,0.30,0.10,0.15,0.15,0.15,658.00,3603.29,0.74,864000.00,-85500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,600.00,0.05,0.10,0.05,0.05,0.05,0.05,138.00,621.07,0.07,194250.00,-46500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,810.00,15.85,15.85,3.45,4.05,3.80,4.05,25426.00,155421.69,958.74,2031000.00,1659000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,840.00,34.00,34.00,20.95,25.65,25.75,25.65,467.00,3028.88,86.78,377250.00,22500.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,740.00,0.30,0.40,0.15,0.20,0.15,0.20,724.00,4019.17,0.97,1101750.00,-207750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,750.00,0.65,0.75,0.20,0.20,0.20,0.20,2541.00,14297.96,4.83,2719500.00,30000.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,660.00,0.10,0.15,0.05,0.10,0.10,0.10,125.00,618.84,0.09,204000.00,-36750.00,816.70
SBIN,21-Apr-2025,24-Apr-2025,PE,830.00,30.30,30.30,13.35,17.05,17.00,17.05,2028.00,12873.84,249.54,395250.00,323250.00,816.70
SBIN,21-Apr-2025,29-May-2025,PE,810.00,29.80,30.05,21.10,23.50,23.65,23.50,1087.00,6798.55,195.03,309000.00,242250.00,816.70
SBIN,21-Apr-2025,29-May-2025,PE,850.00,53.80,54.65,41.75,45.60,45.60,45.60,528.00,3545.73,179.73,942000.00,84750.00,816.70
SBIN,21-Apr-2025,29-May-2025,PE,730.00,3.90,5.10,3.55,4.00,4.00,4.00,681.00,3749.35,20.88,413250.00,-47250.00,816.70
