Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,21-Apr-2025,24-Apr-2025,CE,2820.00,-,-,-,735.90,-,503.15,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2840.00,-,-,-,826.75,-,483.15,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2900.00,442.90,442.90,442.90,442.90,442.90,423.15,1.00,5.85,0.78,175.00,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3020.00,-,-,-,647.90,-,303.25,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,4000.00,0.20,0.30,0.10,0.25,0.25,0.25,687.00,4809.26,0.26,491750.00,-70175.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,4050.00,0.15,0.25,0.10,0.20,0.15,0.20,75.00,531.59,0.02,61250.00,-11200.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3240.00,66.95,108.00,58.50,81.10,78.60,81.10,547.00,3178.25,76.76,120050.00,-26950.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3300.00,24.75,58.40,24.75,34.80,34.40,34.80,18563.00,108426.85,1225.52,391125.00,-418950.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3700.00,0.55,0.95,0.40,0.65,0.60,0.65,3154.00,20425.78,3.63,913325.00,-180075.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2660.00,-,-,-,648.40,-,663.05,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3380.00,10.10,18.70,7.45,8.65,8.00,8.65,4774.00,28338.65,100.44,129850.00,5600.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2860.00,-,-,-,703.75,-,463.15,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2940.00,-,-,-,727.35,-,383.20,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2960.00,-,-,-,707.45,-,363.20,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2980.00,-,-,-,687.60,-,343.20,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3450.00,4.30,6.95,2.75,2.95,2.75,2.95,5064.00,30612.21,38.31,291550.00,6125.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3460.00,3.50,6.05,2.40,2.70,2.45,2.70,2977.00,18044.73,19.00,207375.00,75600.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3860.00,0.40,0.50,0.40,0.50,0.50,-,27.00,182.41,0.02,27300.00,-3675.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3950.00,0.45,0.45,0.30,0.35,0.35,0.35,44.00,304.18,0.03,57400.00,-5950.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3160.00,152.20,161.00,137.90,154.05,153.80,154.05,36.00,208.51,9.43,40425.00,-1050.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,4040.00,-,-,-,0.75,0.75,-,-,-,-,69300.00,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3200.00,104.55,145.60,90.00,117.35,115.10,117.35,1259.00,7298.69,248.29,246225.00,-72800.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,2680.00,-,-,-,985.85,-,643.05,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,3720.00,1.00,1.00,0.55,0.55,0.55,0.55,43.00,279.98,0.05,51450.00,1050.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,CE,4400.00,0.15,0.15,0.05,0.15,0.15,-,244.00,1878.83,0.03,65450.00,-14525.00,3321.60
