Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
TCS,21-Apr-2025,24-Apr-2025,PE,2760.00,0.35,0.60,0.25,0.25,0.25,0.25,110.00,531.37,0.07,28700.00,-875.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,2920.00,0.70,0.85,0.15,0.30,0.15,0.30,32.00,163.55,0.03,22400.00,-1925.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3820.00,-,-,-,194.35,-,496.40,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3020.00,1.00,1.00,0.45,0.60,0.60,0.60,74.00,391.17,0.08,50925.00,-1400.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3880.00,-,-,-,239.85,-,556.35,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3950.00,-,-,-,695.00,695.00,626.30,-,-,-,14700.00,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3550.00,252.00,261.45,208.15,238.80,240.00,238.80,108.00,714.32,43.37,49175.00,-16625.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3960.00,-,-,-,306.15,-,636.30,-,-,-,-,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,4000.00,700.00,707.00,655.75,685.60,686.00,685.60,146.00,1196.49,174.49,110250.00,-1225.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3250.00,16.05,18.60,4.85,7.95,8.25,7.95,6282.00,35839.81,110.94,213150.00,3850.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3680.00,-,-,-,326.50,326.50,356.45,-,-,-,18550.00,-,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,2640.00,0.20,0.25,0.20,0.25,0.25,-,2.00,9.24,-,3500.00,-175.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,3360.00,81.05,81.05,39.40,57.60,58.40,57.60,707.00,4218.24,61.08,54075.00,23450.00,3321.60
TCS,21-Apr-2025,24-Apr-2025,PE,2820.00,0.20,0.20,0.20,0.20,0.20,-,21.00,103.64,0.01,18025.00,-3675.00,3321.60
